game_id,fecha,equipo_local,club_local_id,equipo_visitante,club_visitante_id,pts_local,pts_visitante,ganador,temporada,is_playoff
2022_0409_2315_215,2022-04-09T00:00:00+00:00,MLP Academics Heidelberg,215,Merlins Crailsheim,2315,72,87,visitante,2021-22,0
2022_0409_41_127,2022-04-09T00:00:00+00:00,Ratiopharm Ulm,127,MHP Riesen Ludwigsburg,41,61,74,visitante,2021-22,0
2022_0409_1634_40,2022-04-09T00:00:00+00:00,Basketball Loewen Braunschweig,40,EWE Baskets Oldenburg,1634,76,90,visitante,2021-22,0
2022_0410_3361_1510,2022-04-10T00:00:00+00:00,Telekom Baskets Bonn,1510,Fraport Skyliners Frankfurt,3361,112,96,local,2021-22,0
2022_0410_133_219,2022-04-10T00:00:00+00:00,FC Bayern Muenchen Basketball,219,46ers Giessen,133,95,85,local,2021-22,0
2022_0410_214_19629,2022-04-10T00:00:00+00:00,Veolia Towers Hamburg,19629,BG Goettingen,214,80,83,visitante,2021-22,0
2022_0410_450_10,2022-04-10T00:00:00+00:00,ALBA Berlin,10,SYNTAINICS MBC Weissenfels,450,95,66,local,2021-22,0
2022_0412_10_1634,2022-04-12T00:00:00+00:00,EWE Baskets Oldenburg,1634,ALBA Berlin,10,86,92,visitante,2021-22,0
2022_0412_40_2315,2022-04-12T00:00:00+00:00,Merlins Crailsheim,2315,Basketball Loewen Braunschweig,40,87,84,local,2021-22,0
2022_0412_127_215,2022-04-12T00:00:00+00:00,MLP Academics Heidelberg,215,Ratiopharm Ulm,127,74,90,visitante,2021-22,0
2022_0413_132_214,2022-04-13T00:00:00+00:00,BG Goettingen,214,Bamberg Baskets,132,87,88,visitante,2021-22,0
2022_0413_219_450,2022-04-13T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,FC Bayern Muenchen Basketball,219,78,86,visitante,2021-22,0
2022_0413_134_1791,2022-04-13T00:00:00+00:00,NINERS Chemnitz,1791,Medi Bayreuth,134,83,69,local,2021-22,0
2022_0413_1510_133,2022-04-13T00:00:00+00:00,46ers Giessen,133,Telekom Baskets Bonn,1510,72,78,visitante,2021-22,0
2022_0413_19629_3361,2022-04-13T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,Veolia Towers Hamburg,19629,58,68,visitante,2021-22,0
2022_0415_10_127,2022-04-15T00:00:00+00:00,Ratiopharm Ulm,127,ALBA Berlin,10,73,78,visitante,2021-22,0
2022_0416_40_19629,2022-04-16T00:00:00+00:00,Veolia Towers Hamburg,19629,Basketball Loewen Braunschweig,40,92,79,local,2021-22,0
2022_0416_2315_134,2022-04-16T00:00:00+00:00,Medi Bayreuth,134,Merlins Crailsheim,2315,85,90,visitante,2021-22,0
2022_0416_133_2745,2022-04-16T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,46ers Giessen,133,110,97,local,2021-22,0
